('168', '168', '168')
('258', '311', '240')
('243', '125', '125')
('240', '240', '174')
('240', '174', '174')
('195', '5', '6')
('195', '195', '6')
('192', '6', '192')
('192', '33', '5')
('192', '243', '125')
('192', '192', '243')
('175', '54', '175')
('175', '3', '265')
('175', '265', '3')
('175', '265', '175')
('175', '191', '122')
('175', '146', '175')
('175', '119', '265')
('174', '57', '175')
('174', '175', '191')
('174', '174', '57')
('174', '174', '11')
('174', '11', '45')
('168', '340', '168')
('168', '265', '340')
('168', '168', '78')
('146', '168', '146')
('146', '146', '168')
('142', '146', '175')
('142', '104', '175')
('125', '91', '258')
('11', '45', '33')
('104', '146', '3')
('104', '146', '265')
('104', '104', '3')
('78', '78', '168')
('78', '3', '168')
('78', '265', '168')
('78', '168', '3')
('78', '168', '265')
('78', '168', '168')
('6', '5', '3')
('5', '6', '6')
('5', '3', '91')
('45', '45', '5')
('340', '168', '3')
('3', '78', '3')
('3', '33', '4')
('3', '3', '91')
('3', '3', '6')
('3', '168', '195')
('3', '142', '119')
('3', '119', '142')
('3', '104', '175')
('3', '104', '146')
('268', '45', '45')
('265', '78', '265')
('265', '78', '168')
('265', '3', '78')
('265', '168', '78')
('265', '168', '340')
('265', '146', '175')
('265', '104', '142')
('265', '102', '102')
('191', '122', '268')
('175', '3', '146')
('168', '265', '195')
('146', '3', '104')
('146', '265', '104')
('146', '175', '175')
('146', '142', '119')
('146', '104', '3')
('142', '3', '119')
('142', '119', '265')
('122', '268', '45')
('104', '3', '104')
('104', '265', '175')
('104', '142', '175')
('91', '5', '5')
('78', '78', '195')
('6', '91', '3')
('6', '6', '5')
('6', '6', '3')
('5', '91', '3')
('5', '5', '91')
('5', '5', '197')
('5', '197', '3')
('340', '168', '265')
('33', '4', '3')
('3', '6', '6')
('3', '6', '5')
('3', '3', '4')
('3', '3', '192')
('3', '168', '78')
('3', '104', '104')
('265', '340', '168')
('265', '195', '168')
('168', '168', '168')
('168', '265', '168')
('168', '168', '265')
('265', '168', '168')
('265', '168', '265')
('265', '265', '265')
('265', '265', '168')
('168', '265', '265')
('3', '3', '3')
('168', '3', '168')
('3', '265', '265')
('265', '3', '265')
('265', '168', '3')
('168', '168', '3')
('195', '195', '195')
('3', '168', '168')
('3', '168', '265')
('265', '265', '3')
('168', '265', '3')
('168', '3', '265')
('3', '265', '168')
('265', '3', '168')
('3', '168', '3')
('3', '3', '265')
('19', '3', '3')
('3', '3', '19')
('3', '265', '3')
('3', '19', '3')
('265', '3', '3')
('168', '3', '3')
('3', '3', '168')
('3', '19', '19')
('19', '19', '3')
('19', '3', '19')
('174', '174', '174')
('19', '19', '19')
('78', '78', '78')
('142', '142', '142')
('142', '265', '142')
('142', '142', '3')
('265', '142', '142')
('168', '265', '43')
('175', '175', '175')
('43', '168', '265')
('142', '146', '142')
('43', '3', '265')
('142', '142', '265')
('265', '43', '265')
('197', '192', '192')
('192', '192', '6')
('3', '265', '43')
('265', '265', '43')
('146', '142', '142')
('125', '125', '125')
('265', '43', '3')
('142', '3', '142')
('5', '3', '197')
('3', '197', '192')
('6', '33', '5')
('33', '5', '3')
('265', '43', '168')
('192', '6', '33')
('142', '3', '265')
('43', '265', '168')
('3', '142', '142')
('175', '142', '142')
('142', '142', '146')
('265', '168', '43')
('3', '142', '3')
('146', '168', '168')
('142', '3', '3')
('43', '265', '265')
('142', '142', '175')
('168', '43', '265')
('168', '43', '168')
('168', '168', '43')
('43', '3', '168')
('142', '175', '142')
('265', '142', '265')
('168', '146', '168')
('168', '43', '3')
('168', '168', '146')
('3', '43', '168')
('43', '168', '3')
('3', '265', '142')
('265', '3', '142')
('265', '142', '3')
('175', '175', '142')
('43', '168', '168')
('3', '3', '142')
('168', '168', '102')
('102', '168', '168')
('265', '265', '142')
('265', '102', '168')
('168', '265', '102')
('102', '265', '168')
('43', '265', '3')
('3', '43', '3')
('3', '168', '43')
('265', '3', '43')
('265', '265', '146')
('265', '146', '3')
('168', '102', '168')
('3', '142', '265')
('265', '146', '265')
('265', '146', '142')
('142', '265', '265')
('265', '43', '43')
('265', '175', '142')
('265', '102', '265')
('175', '142', '3')
('168', '3', '43')
('146', '3', '142')
('3', '104', '3')
('265', '265', '102')
('265', '142', '146')
('175', '142', '265')
('168', '102', '265')
('142', '265', '3')
('3', '43', '265')
('265', '146', '168')
('146', '3', '3')
('3', '3', '43')
('3', '265', '146')
('192', '192', '192')
('146', '142', '265')
('43', '3', '3')
('3', '175', '142')
('146', '3', '265')
('146', '265', '142')
('142', '265', '146')
('102', '168', '265')
('43', '43', '168')
('3', '3', '175')
('3', '175', '175')
('3', '146', '142')
('3', '142', '146')
('142', '3', '175')
('168', '265', '146')
('146', '265', '3')
('146', '265', '265')
('146', '142', '3')
('104', '3', '3')
('5', '197', '192')
('3', '175', '3')
('265', '168', '102')
('168', '146', '3')
('142', '3', '146')
('142', '3', '104')
('142', '146', '3')
('142', '146', '265')
('5', '5', '5')
('43', '43', '3')
('43', '3', '43')
('168', '43', '43')
('146', '168', '3')
('142', '265', '175')
('142', '175', '175')
('43', '168', '43')
('3', '6', '91')
('3', '3', '146')
('3', '3', '104')
('146', '265', '146')
('142', '146', '146')
('142', '104', '142')
('43', '43', '265')
('265', '3', '146')
('175', '265', '142')
('175', '146', '142')
('146', '168', '265')
('78', '78', '265')
('3', '265', '104')
('3', '146', '265')
('265', '142', '175')
('175', '142', '175')
('175', '142', '146')
('146', '142', '175')
('146', '142', '146')
('142', '175', '265')
('142', '104', '265')
('104', '265', '3')
('104', '142', '265')
('102', '265', '265')
('6', '3', '6')
('5', '3', '5')
('3', '5', '3')
('3', '168', '146')
('3', '142', '175')
('265', '168', '146')
('265', '142', '119')
('175', '3', '175')
('146', '146', '3')
('146', '146', '142')
('142', '265', '104')
('104', '3', '142')
('104', '142', '3')
('102', '102', '102')
('6', '91', '5')
('43', '43', '43')
('43', '265', '43')
('3', '78', '78')
('3', '3', '33')
('3', '265', '175')
('3', '146', '3')
('3', '146', '168')
('3', '146', '146')
('265', '3', '175')
('265', '3', '104')
('265', '265', '78')
('146', '3', '146')
('146', '146', '265')
('142', '175', '3')
('142', '175', '146')
('142', '146', '104')
('142', '142', '104')
('119', '142', '142')
('3', '175', '265')
('3', '146', '104')
('3', '104', '142')
('265', '175', '175')
('265', '142', '104')
('195', '78', '78')
('175', '175', '265')
('175', '142', '104')
('146', '104', '265')
('142', '175', '119')
('142', '119', '142')
('142', '104', '3')
('104', '3', '265')
('104', '265', '142')
('104', '175', '142')
('78', '3', '3')
('78', '265', '78')
('78', '265', '265')
('6', '5', '5')
('5', '5', '3')
('5', '3', '6')
('3', '5', '5')
('3', '3', '78')
('3', '104', '265')
('265', '78', '78')
('265', '265', '175')
('265', '104', '3')
('195', '5', '5')
('175', '175', '146')
('146', '3', '168')
('146', '265', '168')
('146', '142', '104')
('146', '104', '142')
('104', '142', '146')
('78', '78', '5')
('54', '54', '54')
('5', '6', '5')
('5', '5', '6')
('5', '5', '195')
('5', '195', '195')
('4', '3', '3')
('33', '3', '3')
('3', '33', '3')
('3', '3', '5')
('3', '195', '195')
('265', '175', '146')
('265', '104', '265')
('197', '192', '6')
('197', '192', '3')
('195', '195', '5')
('175', '3', '142')
('175', '174', '174')
('175', '119', '142')
('174', '174', '175')
('146', '146', '146')
('142', '119', '146')
('104', '3', '146')
('104', '265', '146')
('104', '104', '142')
('102', '168', '102')
('91', '5', '197')
('78', '78', '3')
('78', '195', '78')
('3', '43', '43')
('3', '3', '195')
('3', '265', '78')
('3', '142', '104')
('265', '146', '146')
('195', '195', '3')
('192', '3', '3')
('175', '6', '3')
('175', '3', '3')
('175', '146', '265')
('168', '3', '78')
('168', '3', '146')
('168', '146', '265')
('168', '146', '146')
('146', '3', '175')
('146', '265', '175')
('146', '175', '142')
('142', '142', '119')
('142', '119', '3')
('125', '125', '91')
('119', '142', '265')
('104', '142', '142')
('102', '265', '102')
('102', '102', '265')
('91', '3', '3')
('91', '258', '311')
('6', '5', '6')
('6', '3', '5')
('6', '192', '192')
('6', '174', '174')
('57', '175', '54')
('54', '175', '6')
('5', '6', '3')
('5', '6', '195')
('5', '3', '3')
('45', '33', '192')
('340', '168', '168')
('33', '5', '197')
('33', '192', '33')
('311', '240', '240')
('3', '91', '5')
('3', '6', '174')
('3', '5', '6')
('265', '78', '3')
('265', '104', '146')
('258', '311', '240')
('243', '125', '125')
('240', '240', '174')
('240', '174', '174')
('195', '5', '6')
('195', '195', '6')
('192', '6', '192')
('192', '33', '5')
('192', '243', '125')
('192', '192', '243')
('175', '54', '175')
('175', '3', '265')
('175', '265', '3')
('175', '265', '175')
('175', '191', '122')
('175', '146', '175')
('175', '119', '265')
('174', '57', '175')
('174', '175', '191')
('174', '174', '57')
('174', '174', '11')
('174', '11', '45')
('168', '340', '168')
('168', '265', '340')
('168', '168', '78')
('146', '168', '146')
('146', '146', '168')
('142', '146', '175')
('142', '104', '175')
('125', '91', '258')
('11', '45', '33')
('104', '146', '3')
('104', '146', '265')
('104', '104', '3')
('78', '78', '168')
('78', '3', '168')
('78', '265', '168')
('78', '168', '3')
('78', '168', '265')
('78', '168', '168')
('6', '5', '3')
('5', '6', '6')
('5', '3', '91')
('45', '45', '5')
('340', '168', '3')
('3', '78', '3')
('3', '33', '4')
('3', '3', '91')
('3', '3', '6')
('3', '168', '195')
('3', '142', '119')
('3', '119', '142')
('3', '104', '175')
('3', '104', '146')
('268', '45', '45')
('265', '78', '265')
('265', '78', '168')
('265', '3', '78')
('265', '168', '78')
('265', '168', '340')
('265', '146', '175')
('265', '104', '142')
('265', '102', '102')
('191', '122', '268')
('175', '3', '146')
('168', '265', '195')
('146', '3', '104')
('146', '265', '104')
('146', '175', '175')
('146', '142', '119')
('146', '104', '3')
('142', '3', '119')
('142', '119', '265')
('122', '268', '45')
('104', '3', '104')
('104', '265', '175')
('104', '142', '175')
('91', '5', '5')
('78', '78', '195')
('6', '91', '3')
('6', '6', '5')
('6', '6', '3')
('5', '91', '3')
('5', '5', '91')
('5', '5', '197')
('5', '197', '3')
('340', '168', '265')
('33', '4', '3')
('3', '6', '6')
('3', '6', '5')
('3', '3', '4')
('3', '3', '192')
('3', '168', '78')
('3', '104', '104')
('265', '340', '168')
('265', '195', '168')
